fqdn,helpful,not_helpful,total,helpful_ratio,mean_helpful_sign,lower_helpful_sign,upper_helpful_sign,helpful_class,mean,ci_lower,ci_upper
x.com,565,223,788,0.7170050761421319,0.4338725888324873,0.37055837563451777,0.49746192893401014,helpful,0.4341515228426396,0.37055837563451777,0.49746192893401014
en.m.wikipedia.org,107,151,258,0.41472868217054265,-0.16980620155038761,-0.2868217054263566,-0.05406976744186329,not_helpful,-0.17014186046511626,-0.29457364341085274,-0.046511627906976744
www.youtube.com,199,54,253,0.7865612648221344,0.5732268774703558,0.47035573122529645,0.6679841897233202,helpful,0.5732268774703557,0.47035573122529645,0.6679841897233202
www.reuters.com,206,28,234,0.8803418803418803,0.7607478632478633,0.6752136752136753,0.8376068376068376,helpful,0.7599589743589744,0.6752136752136753,0.8376068376068376
apnews.com,136,61,197,0.6903553299492385,0.38083451776649746,0.24873096446700507,0.5025380710659898,helpful,0.38106802030456854,0.24873096446700507,0.5126903553299492
www.cnn.com,96,70,166,0.5783132530120482,0.1559734939759036,0.0,0.3132530120481928,helpful,0.1561686746987952,0.012048192771084338,0.30150602409638116
www.nbcnews.com,90,43,133,0.6766917293233082,0.3535187969924812,0.18796992481203006,0.5037593984962406,helpful,0.35329323308270677,0.18796992481203006,0.5037593984962406
www.newsweek.com,105,25,130,0.8076923076923077,0.6161507692307692,0.47692307692307695,0.7384615384615385,helpful,0.6159476923076923,0.47692307692307695,0.7388461538461483
www.nytimes.com,80,49,129,0.6201550387596899,0.24076434108527134,0.06976744186046512,0.4108527131782946,helpful,0.24008992248062014,0.06976744186046512,0.4108527131782946
www.usatoday.com,97,17,114,0.8508771929824561,0.7019771929824561,0.5614035087719298,0.8245614035087719,helpful,0.7015438596491228,0.5614035087719298,0.8245614035087719
www.snopes.com,96,12,108,0.8888888888888888,0.7780537037037036,0.6481481481481481,0.8888888888888888,helpful,0.7778962962962963,0.6481481481481481,0.8888888888888888
nypost.com,74,26,100,0.74,0.48138400000000003,0.3,0.64,helpful,0.48026,0.3,0.64
truthsocial.com,74,16,90,0.8222222222222222,0.6438399999999999,0.4888888888888889,0.8,helpful,0.6433133333333333,0.4888888888888889,0.8
www.cbsnews.com,65,24,89,0.7303370786516854,0.45972808988764047,0.25842696629213485,0.6404494382022472,helpful,0.46026067415730343,0.2808988764044944,0.6404494382022472
